Image_Index,Quality,Adaptive_RMSE,Adaptive_BPP,Standard_RMSE,Standard_BPP
0,80,4.7550776597028035,2.638153076171875,4.895616026039426,2.5007171630859375
1,80,4.2055620693714575,2.4385223388671875,4.324129943946576,2.2375946044921875
2,80,6.230434871250629,2.7586517333984375,6.195184835406994,2.8337554931640625
3,80,5.490364651269189,3.577667236328125,5.5686513199145855,3.47015380859375
4,80,3.8662154186505773,2.62896728515625,3.991925673287854,2.5428466796875
5,80,5.088599473773917,3.341461181640625,5.142095569958413,3.2227020263671875
6,80,1.710149528405399,0.844451904296875,1.7439601757857208,0.8047943115234375
7,80,5.072632245727126,2.8623046875,5.187241635916725,2.72845458984375
8,80,4.327361662717935,2.2787017822265625,4.468985028966601,2.140625
9,80,2.635659509459575,1.37139892578125,2.7492545302327334,1.2894287109375
10,80,4.214984334039442,2.4042816162109375,4.389341263990627,2.234588623046875
11,80,3.2260264889724763,1.830078125,3.3120869313009873,1.753448486328125
12,80,5.4694605193196,3.337432861328125,5.577610252130789,3.1920623779296875
13,80,5.683017850977705,3.2634429931640625,5.728593869330114,3.1851348876953125
14,80,4.5090720952854335,2.5924835205078125,4.563327104681727,2.5517578125
15,80,3.835134552970472,2.0557403564453125,3.957389852951335,1.927520751953125
16,80,4.065735765649402,2.041290283203125,4.118348587071694,1.9102630615234375
17,80,4.6092668596071675,2.781219482421875,4.783113934916042,2.6907196044921875
18,80,5.357385442176218,3.56378173828125,5.476157093143792,3.453277587890625
19,80,5.852166572903168,3.83465576171875,5.883117262607124,3.7903900146484375
20,80,5.18704503526976,3.2422027587890625,5.2438070919307105,3.174560546875
21,80,4.35144736812835,2.4942169189453125,4.5175191565091435,2.3321380615234375
22,80,4.444875971719723,2.3256683349609375,4.633105624158527,2.1258392333984375
23,80,6.425650248791298,3.4296112060546875,6.419904148103251,3.4146270751953125
24,80,6.528987316142447,3.911468505859375,6.547178372172571,3.8881988525390625
25,80,3.1230413783957256,1.6513214111328125,3.234804281596396,1.5420379638671875
26,80,3.6812159555584802,2.127838134765625,3.6603500982552033,2.131011962890625
27,80,5.891521193431816,3.1977081298828125,5.8583653644031575,3.2204132080078125
28,80,4.49770098698149,2.595184326171875,4.591286896348706,2.49267578125
29,80,3.958679398249497,2.176361083984375,4.063152241310644,2.087005615234375
30,80,6.905925208001866,4.43634033203125,6.887491241652591,4.380859375
31,80,5.908535523535218,4.012542724609375,5.88108780813262,4.0477294921875
32,80,4.504624427779919,2.7042083740234375,4.65175990774006,2.5492401123046875
33,80,4.83917637314219,2.9741973876953125,4.84659589615216,2.979095458984375
34,80,5.624168051902581,3.4116668701171875,5.630007175330315,3.358917236328125
35,80,4.542158094410893,2.8538970947265625,4.630071934799639,2.767578125
36,80,4.774444324056531,2.70648193359375,4.894242351476578,2.60943603515625
37,80,6.591874131491718,3.678955078125,6.632262274120449,3.607513427734375
38,80,6.56227096884567,4.187408447265625,6.571669019324108,4.1784820556640625
39,80,3.7287217768113496,1.903900146484375,3.782855741182017,1.7751007080078125
40,80,6.51098252749209,4.196014404296875,6.556965749901215,4.1947784423828125
41,80,6.720607483063287,3.93841552734375,6.741682037348568,3.8519287109375
42,80,4.381741225656736,2.3419189453125,4.514535105819832,2.2218780517578125
43,80,5.1217338264813135,3.111968994140625,5.172107088196341,3.06854248046875
44,80,6.097252098634013,3.8370361328125,6.1357941265823195,3.7980804443359375
45,80,3.5463257306895883,2.0086822509765625,3.6680769086822336,1.9249267578125
46,80,4.890484597625206,2.73907470703125,4.963076761521547,2.6501312255859375
47,80,5.730620080795504,3.5855560302734375,5.74807220429208,3.53619384765625
48,80,4.066226756164993,2.5734100341796875,4.146349595224733,2.4869842529296875
49,80,3.877372425636121,2.0575103759765625,4.025318128441062,1.9203033447265625
50,80,2.872008605660781,1.45947265625,2.990489720414308,1.307373046875
51,80,2.8365803980307325,1.720611572265625,3.004233022971937,1.5793609619140625
52,80,3.2726340874657387,1.817626953125,3.429077186823024,1.6980743408203125
53,80,4.504345526424374,2.511627197265625,4.634614865111951,2.422271728515625
54,80,2.154077587339566,1.1105194091796875,2.20668899448005,1.07763671875
55,80,4.259854728120138,2.3811798095703125,4.3505115895139035,2.2989501953125
56,80,4.616324871828848,2.80450439453125,4.713785890887515,2.7233428955078125
57,80,3.4052277410511738,1.8538055419921875,3.567328142759648,1.742340087890625
58,80,4.905604099270144,3.2083587646484375,4.967352008685322,2.9989166259765625
59,80,6.989497707731236,3.82080078125,6.985980208552258,3.798583984375
60,80,4.42471060803345,2.735748291015625,4.544807864339594,2.6094970703125
61,80,3.848527291422723,2.1216278076171875,3.9657397130112013,2.000732421875
62,80,4.857579593631333,3.0599517822265625,4.917773795612981,3.0416412353515625
63,80,5.187350473968252,3.244232177734375,5.281601993786377,3.1147613525390625
64,80,4.736519943495457,2.7030792236328125,4.882657289199811,2.5181732177734375
65,80,4.809503324142202,2.5900115966796875,4.858147600046868,2.5061798095703125
66,80,5.07257609493759,3.29046630859375,5.210954581275103,3.144775390625
67,80,4.356124997272459,2.243255615234375,4.50701809146834,2.089447021484375
68,80,3.6794877588657946,1.762359619140625,3.7534374165261695,1.6561431884765625
69,80,5.882253943713526,3.5797882080078125,5.877684500678667,3.563720703125
70,80,4.632878372212976,2.585723876953125,4.795199388396604,2.423095703125
71,80,4.464708185460177,2.7283935546875,4.551312111382975,2.6412200927734375
72,80,6.471745041850672,3.9801025390625,6.465121862723841,3.999542236328125
73,80,4.086272343274669,2.261871337890625,4.22189070978449,2.1247100830078125
74,80,5.247431535496824,3.4103851318359375,5.255735624820546,3.415191650390625
75,80,3.607981755584805,2.1167449951171875,3.6909377458424975,2.058013916015625
76,80,6.347397831278234,3.8565521240234375,6.342246091875405,3.8698272705078125
77,80,4.438140679615428,2.6177978515625,4.600375771032245,2.4949951171875
78,80,3.4291209431439325,1.96319580078125,3.5697483142854414,1.8480987548828125
79,80,3.2302097399693275,1.62030029296875,3.3384606663503207,1.5267486572265625
80,80,3.8787469283745493,2.4314422607421875,4.01621393419653,2.3300018310546875
81,80,4.104977496972553,2.638916015625,4.227315162304002,2.5277557373046875
82,80,4.660701390474601,2.67767333984375,4.776580857763763,2.5365447998046875
83,80,6.883265480033426,3.97064208984375,6.853522397017411,3.999420166015625
84,80,6.95064511312488,4.84564208984375,6.964507814622286,4.8187408447265625
85,80,6.360151963567732,3.8466339111328125,6.329749582488886,3.861328125
86,80,4.459011323423823,2.683990478515625,4.48131553499122,2.528076171875
87,80,5.607751694664308,3.6706390380859375,5.716238224148934,3.5331878662109375
88,80,5.2291417013638775,2.8173675537109375,5.22697656166899,2.826812744140625
89,80,5.484330947858455,3.122161865234375,5.552818760167509,3.0026397705078125
90,80,8.108239674460146,5.0559844970703125,8.065472353121754,5.1771697998046875
91,80,6.469108534749977,4.274322509765625,6.489951950389107,4.2315673828125
92,80,5.6666741464602906,3.4293975830078125,5.738567984809106,3.2977752685546875
93,80,5.78060200126858,3.228668212890625,5.812818949162462,3.16387939453125
94,80,4.798941135175572,3.0001220703125,4.906638743556083,2.87646484375
95,80,4.15148377148253,2.4709930419921875,4.238943640634606,2.3880157470703125
96,80,5.527190534537246,2.8580474853515625,5.56509121893479,2.7954559326171875
